Model,Acc@1,Acc@3,Acc@5,Precision,Recall,F1_score
SVM,0.5416666666666666,0.84,0.9279166666666666,0.5437207773446604,0.5416666666666666,0.5378897826012082
kNN,0.50375,0.7516666666666667,0.8283333333333334,0.5082376384102341,0.50375,0.5018590070072774
Random Forest,0.58,0.8504166666666667,0.9283333333333333,0.5793729760074565,0.58,0.576172354670768
Logistic Regression,0.32458333333333333,0.6370833333333333,0.7816666666666666,0.2991197015846978,0.32458333333333333,0.2734121350120245
