Model,Acc@1,Acc@3,Acc@5,Precision,Recall,F1_score
SVM,0.4945833333333333,0.7558333333333334,0.87625,0.488334238027244,0.4945833333333333,0.4845161244955213
kNN,0.355,0.5670833333333334,0.69875,0.366613122044483,0.355,0.35269525469067803
Random Forest,0.43083333333333335,0.6870833333333334,0.8154166666666667,0.4146480121087584,0.43083333333333335,0.41490351917667617
Logistic Regression,0.45,0.7233333333333334,0.8433333333333334,0.4354067658478142,0.45,0.43933614293638595
